question,q_word,q_pos,root,root_pos,root_lemma,wh_word,wh_head,wh_bigram,wh_pos,wh_head_pos,subj,subj_pos,subj_ner,label
What were the trials called which followed World War II ?,,,were,VBD,be,which,follow,"['which', 'follow']",WDT,VBD,trials which,WDT,,EVENT
What Nazi leader killed himself in jail just before he was to be executed as a war criminal ?,,,killed,VBD,kill,what,Nazi,"['what', 'Nazi']",WP,NNP,leader he,PRP,,PERSON
What famous events have happened on March 27 ?,,,happened,VBN,happen,what,famous,"['what', 'famous']",WDT,JJ,events,NNS,,EVENT
Which company claimed to be `` the world 's biggest toy store '' ?,,,claimed,VBD,claim,which,company,"['which', 'company']",WDT,NN,company,NN,,ORG
What brand number graces the black label of a bottle of Jack Daniel 's ?,,,graces,VBZ,grace,what,brand,"['what', 'brand']",WDT,NN,number,NN,,CARDINAL
What city is terrorized by Dracula in The Night Stalker ?,,,terrorized,VBN,terrorize,what,city,"['what', 'city']",WDT,NN,,,,GPE
What chocolate bar created by Frank Mars and his wife is often called a Milky Way with peanuts ?,,,called,VBN,call,what,chocolate,"['what', 'chocolate']",WDT,NN,,,,PRODUCT
Who is the fastest guitarist ?,,,is,VBZ,be,who,be,"['who', 'be']",WP,VBZ,,,,PERSON
What is the name of the second space shuttle ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,name,NN,,PRODUCT
What is the best hospital for orthopedics in the country ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,hospital,NN,,GPE
What 's the second-biggest-selling magazine in America ?,,,'s,VBZ,be,what,be,"['what', 'be']",WP,VBZ,magazine,NN,,WORK_OF_ART
Who betrayed Norway to the Nazis ?,,,betrayed,VBD,betray,who,betray,"['who', 'betray']",WP,VBD,Who,WP,,PERSON
Who took the toys donated for the Doodyville Orphans ' Fund and kept them for himself ?,,,took,VBD,take,who,take,"['who', 'take']",WP,VBD,Who,WP,,PERSON
Who were the Picts ?,,,were,VBD,be,who,be,"['who', 'be']",WP,VBD,Picts,NNS,,PERSON
Who is stationed at Camp Swampy in the comic strips ?,,,stationed,VBN,station,who,be,"['who', 'be']",WP,VBZ,,,,PERSON
In what year did China and the Republic of Korea establish diplomatic relations ?,,,establish,VBP,establish,what,year,"['what', 'year']",WDT,NN,China,NNP,GPE,DATE
How tall is the giraffe ?,,,is,VBZ,be,how,tall,"['how', 'tall']",WRB,JJ,giraffe,NN,,QUANTITY
What actor dressed up as Santa Claus and had a once-a-year affair with actress Shelley Winters every Christmas for many years ?,,,dressed,VBD,dress,what,actor,"['what', 'actor']",WP,NN,actor,NN,,PERSON
How long did it take Stanley to find Livingstone ?,,,take,VB,take,how,long,"['how', 'long']",WRB,RB,it,PRP,,TIME
How much of the nation 's children between the ages of two and eleven watch ` The Simpsons ' ?,,,much,JJ,much,how,much,"['how', 'much']",WRB,JJ,,,,QUANTITY
What lake is Sheboygan on ?,,,is,VBZ,be,what,lake,"['what', 'lake']",WP,NN,,,,LOC
What Nantucket shipwreck killed more divers exploring it than the 52 people it sank with ?,,,killed,VBD,kill,what,Nantucket,"['what', 'Nantucket']",WP,NNP,shipwreck it,PRP,,PRODUCT
Name the four stories contained in Edith Wharton 's `` Old New York . '',,,Name,VB,name,,,[],,,,,,WORK_OF_ART
What is the largest lake in North America ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,,,,LOC
How many people died because of a smoking problem in 1997 ?,,,died,VBD,die,how,many,"['how', 'many']",WRB,JJ,people,NNS,,CARDINAL
Who wrote The Look of Love after viewing Ursula Andress ?,,,wrote,VBD,write,who,write,"['who', 'write']",WP,VBD,Who,WP,,PERSON
What is the name of the American swimmer who won seven gold medals in the 1972 Olympics ?,,,is,VBZ,be,who,win,"['who', 'win']",WP,VBD,name who,WP,,PERSON
Who claims to have the greatest show on earth ?,,,claims,VBZ,claim,who,claim,"['who', 'claim']",WP,VBZ,Who,WP,,PERSON
What Honeymooners actress did Television magazine name as 1953 's most promising star ?,,,did,VBD,do,what,honeymooner,"['what', 'honeymooner']",WP,NNS,actress,NN,,PERSON
What kind of organization is ` Last Chance for Animals ' ?,,,is,VBZ,be,what,kind,"['what', 'kind']",WDT,NN,,,,ORG
What was the role of the Medieval Guild ?,,,was,VBD,be,what,be,"['what', 'be']",WP,VBD,role,NN,,PERSON
Silly putty was invented by whom ?,,,invented,VBN,invent,whom,?,"['whom', '?']",WP,.,,,,PERSON
Who invented the paper clip ?,,,invented,VBD,invent,who,invent,"['who', 'invent']",WP,VBD,Who,WP,,PERSON
Whom did Lauren Bacall marry after her husband Humphrey Bogart died ?,,,marry,VB,marry,whom,do,"['whom', 'do']",WP,VBD,Bacall husband,NN,,PERSON
How many times in his 16-year National Basketball Associaton career was John Havlicek a member of the all-star team ?,,,was,VBD,be,how,many,"['how', 'many']",WRB,JJ,,,,CARDINAL
What city or state do the most gay men live in ?,,,live,VBP,live,what,city,"['what', 'city']",WDT,NN,men,NNS,,GPE
Shea and Gould had an office in Los Angeles for how long before closing it ?,,,had,VBD,have,how,long,"['how', 'long']",WRB,RB,Shea,NNP,PERSON,DATE
"What year did Degas create the bronze sculpture , `` Fourth Position Front ? ''",,,create,VB,create,what,year,"['what', 'year']",WDT,NN,Degas,NNP,ORG,DATE
What composer was awarded the Medal of Honor by Franklin D. Roosevelt ?,,,awarded,VBN,award,what,composer,"['what', 'composer']",WP,NN,,,,PERSON
How many URL extensions are there ? and what are they ?,,,are,VBP,be,how,many,"['how', 'many']",WRB,JJ,extensions,NNS,,CARDINAL
How long after intercourse does it take to find out if you are pregnant ?,,,take,VB,take,how,long,"['how', 'long']",WRB,RB,it you,PRP,,DATE
"Who created the Fantastic Four , Hulk , and Thor ?",,,created,VBD,create,who,create,"['who', 'create']",WP,VBD,Who,WP,,PERSON
Who is the composer of `` Canon in D Major '' ?,,,is,VBZ,be,who,be,"['who', 'be']",WP,VBZ,composer,NN,,PERSON
Where are all European and American eels born ?,,,are,VBP,be,where,be,"['where', 'be']",WRB,VBP,eels,NNS,,GPE
Who was the author of the novel `` Far From the Madding Crowd '' ?,,,was,VBD,be,who,be,"['who', 'be']",WP,VBD,Who,WP,,PERSON
What was `` America 's recessed-filter cigarette '' ?,,,was,VBD,be,what,be,"['what', 'be']",WP,VBD,cigarette,NN,,PRODUCT
What department store heir is responsible for raising a three-ton safe from the underwater wreckage of the Andrea Doria ?,,,is,VBZ,be,what,department,"['what', 'department']",WP,NN,heir,NN,,PERSON
What was the first town to be chartered in Vermont ?,,,was,VBD,be,what,be,"['what', 'be']",WP,VBD,town,NN,,LOC
What state has the longest Great Lakes shoreline ?,,,has,VBZ,have,what,state,"['what', 'state']",WDT,NN,state Lakes,NNP,LOC,GPE
What U.S. state ends with a G ?,,,ends,VBZ,end,what,U.S.,"['what', 'U.S.']",WP,NNP,state,NN,,GPE
How many varieties of twins are there ?,,,are,VBP,be,how,many,"['how', 'many']",WRB,JJ,,,,CARDINAL
What are the largest libraries in the US ?,,,are,VBP,be,what,be,"['what', 'be']",WP,VBP,libraries,NNS,,LOC
How many people live in the Falklands ?,,,live,VBP,live,how,many,"['how', 'many']",WRB,JJ,people,NNS,,CARDINAL
Who was Camp David named for ?,,,was,VBD,be,who,be,"['who', 'be']",WP,VBD,David,NNP,PERSON,PERSON
What document did President Andrew Johnson want a copy of placed under his head upon his burial ?,,,want,VBP,want,what,document,"['what', 'document']",WDT,NN,document Johnson,NNP,PERSON,WORK_OF_ART
Who portrayed `` the man without a face '' in the movie of the same name ?,,,portrayed,VBD,portray,who,portray,"['who', 'portray']",WP,VBD,Who,WP,,PERSON
How much money was the minimum wage in 1991 ?,,,was,VBD,be,how,much,"['how', 'much']",WRB,JJ,money,NN,,MONEY
In what year was the first patent for the pull-tab opener on cans obtained ?,,,was,VBD,be,what,year,"['what', 'year']",WDT,NN,patent,NN,,DATE
What country boasts the most dams ?,,,boasts,VBZ,boast,what,country,"['what', 'country']",WP,NN,country,NN,,GPE
What is the regular price ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,price,NN,,MONEY
What Metropolis landmark was first introduced in the Superman cartoons of the 1940 's ?,,,introduced,VBN,introduce,what,Metropolis,"['what', 'Metropolis']",WP,NNP,,,,LOC
Where can one find Mozambique ?,,,find,VB,find,where,can,"['where', 'can']",WRB,MD,one,PRP,,LOC
What Mary Tyler Moore Show regular came into the world as Tadeus Wladyslaw Konopka ?,,,came,VBD,come,what,Mary,"['what', 'Mary']",WP,NNP,regular,NNP,,WORK_OF_ART
In what city is the US Declaration of Independence located ?,,,is,VBZ,be,what,city,"['what', 'city']",WDT,NN,Declaration,NNP,EVENT,GPE
Who won the first World Series ?,,,won,VBD,win,who,win,"['who', 'win']",WP,VBD,Who,WP,,PERSON
What did Aaron Hass write ?,,,write,VB,write,what,do,"['what', 'do']",WP,VBD,Hass,NNP,PERSON,WORK_OF_ART
What was the business of the animated Sky Hawks ?,,,was,VBD,be,what,be,"['what', 'be']",WP,VBD,business,NN,,ORG
Who was credited with saying : `` I never met a man I did n't like '' ?,,,credited,VBN,credit,who,be,"['who', 'be']",WP,VBD,I I,PRP,,PERSON
What nationality was Jackson Pollock ?,,,was,VBD,be,what,nationality,"['what', 'nationality']",WDT,NN,,,,NORP
How much of the earth 's surface is permanently frozen ?,,,is,VBZ,be,how,much,"['how', 'much']",WRB,JJ,much,JJ,,QUANTITY
When was Queen Victoria born ?,,,born,VBN,bear,when,be,"['when', 'be']",WRB,VBD,Victoria,NNP,PERSON,DATE
How many people were executed for Abraham Lincoln 's assassination ?,,,executed,VBN,execute,how,many,"['how', 'many']",WRB,JJ,,,,CARDINAL
What is worth seeing in Reims ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,What,WP,,LOC
When was Yemen reunified ?,,,reunified,VBD,reunify,when,be,"['when', 'be']",WRB,VBD,,,,DATE
What line of candy products included Super Skrunch and Peanut Butter Oompas ?,,,included,VBD,include,what,line,"['what', 'line']",WDT,NN,line,NN,,PRODUCT
What organization has a Security Council ?,,,has,VBZ,have,what,organization,"['what', 'organization']",WP,NN,organization,NN,,ORG
What Mexican leader was shot dead in 1923 ?,,,shot,VBN,shoot,what,mexican,"['what', 'mexican']",WP,JJ,,,,PERSON
"What feud ended with a marriage in Kentucky on March 21 , 1891 ?",,,ended,VBD,end,what,feud,"['what', 'feud']",WP,NN,feud,NN,,EVENT
What is the federal minimum wage ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,wage,NN,,MONEY
What are the unemployment statistics for the years 1965 and 1990 ?,,,are,VBP,be,what,be,"['what', 'be']",WP,VBP,statistics,NNS,,CARDINAL
Where is Santa Lucia ?,,,is,VBZ,be,where,be,"['where', 'be']",WRB,VBZ,Lucia,NNP,PERSON,LOC
What female painter produced primitives of rural New England life ?,,,produced,VBD,produce,what,female,"['what', 'female']",WDT,JJ,painter,NN,,PERSON
What are names of two old men who appear in the serial tv Muppets Show ?,,,are,VBP,be,who,appear,"['who', 'appear']",WP,VBP,names who,WP,,PERSON
What war saw battles at Parrot 's Beak and Black Virgin ?,,,saw,VBD,see,what,war,"['what', 'war']",WP,NN,war,NN,,EVENT
What is the horsepower of the shuttle boosters ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,horsepower,NN,,CARDINAL
What year did Apartheid start ?,,,start,VB,start,what,year,"['what', 'year']",WDT,NN,Apartheid,NNP,,DATE
Who created Big Ben ?,,,created,VBD,create,who,create,"['who', 'create']",WP,VBD,Who,WP,,PERSON
What city is found in the city of OZ ?,,,found,VBN,find,what,city,"['what', 'city']",WDT,NN,,,,GPE
Name the Marvel team loosely based on DC 's Justice League of America ?,,,Name,VB,name,,,[],,,,,,ORG
"What populous state covers 49 , 576 square miles ?",,,covers,VBZ,cover,what,populous,"['what', 'populous']",WDT,JJ,state,NN,,GPE
What college football team did Knute Rockne build into a power ?,,,build,VB,build,what,college,"['what', 'college']",WP,NN,team Rockne,NNP,PERSON,ORG
In what state was there an 11 million gallon oil spill ?,,,was,VBD,be,what,state,"['what', 'state']",WDT,NN,state,NN,,GPE
"When did Aldous Huxley write , `` Brave New World '' ?",,,write,VB,write,when,do,"['when', 'do']",WRB,VBD,Huxley,NNP,PERSON,DATE
What country did the ancient Romans refer to as Hibernia ?,,,refer,VB,refer,what,country,"['what', 'country']",WP,NN,Romans,NNPS,NORP,GPE
In what high-risk business venture did Jimmy the Greek bet and lose ?,,,did,VBD,do,what,high,"['what', 'high']",WP,JJ,,,,ORG
What do chefs call The Master Spice ?,,,call,VB,call,what,do,"['what', 'do']",WP,VBP,chefs,NNS,,PRODUCT
How long was the longest hiccup attack ?,,,was,VBD,be,how,long,"['how', 'long']",WRB,RB,attack,NN,,TIME
How many people live in Tokyo ?,,,live,VBP,live,how,many,"['how', 'many']",WRB,JJ,people,NNS,,CARDINAL
What fruit-topped actress was known as The Brazilian Bombshell ?,,,known,VBN,know,what,fruit,"['what', 'fruit']",WDT,NN,,,,PERSON
"When the Tutankhamun exhibit was on display in the U.S. , what moving company transported it ?",,,transported,VBD,transport,what,move,"['what', 'move']",WP,VBG,exhibit company,NN,,ORG
Which Kevin Costner movie involves the Sioux Indians ?,,,involves,VBZ,involve,which,Kevin,"['which', 'Kevin']",WDT,NNP,movie,NN,,WORK_OF_ART
Who played the title role in My Favorite Martian ?,,,played,VBD,play,who,play,"['who', 'play']",WP,VBD,Who,WP,,PERSON
Who invented the game Scrabble ?,,,invented,VBD,invent,who,invent,"['who', 'invent']",WP,VBD,Who,WP,,PERSON
When did humans first begin to write history seriously ?,,,begin,VBP,begin,when,do,"['when', 'do']",WRB,VBD,humans,NNS,,DATE
What city in the U.S. experienced the most growth recently ?,,,experienced,VBD,experience,what,city,"['what', 'city']",WDT,NN,city,NN,,GPE
What Tokyo street glitters with famed department stores and nightclubs ?,,,glitters,NNS,glitter,what,Tokyo,"['what', 'Tokyo']",WP,NNP,,,,LOC
What was the average life expectancy during the Stone Age ?,,,was,VBD,be,what,be,"['what', 'be']",WP,VBD,expectancy,NN,,DATE
"When Mighty Mouse was conceived , what was his original name ?",,,was,VBD,be,what,be,"['what', 'be']",WP,VBD,name,NN,,PERSON
What group starred in the movie Rock Around the Clock ?,,,group,NN,group,what,group,"['what', 'group']",WP,NN,,,,ORG
How many U.S. presidents were assassinated during Queen Victoria 's reign ?,,,assassinated,VBN,assassinate,how,many,"['how', 'many']",WRB,JJ,,,,CARDINAL
When was the first flush toilet invented ?,,,was,VBD,be,when,be,"['when', 'be']",WRB,VBD,toilet,NN,,DATE
What is Nathan Hamill 's role in the new Star Wars prequel ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,role,NN,,PERSON
How many disks does each player have in a four-handed game of Crokinole ?,,,have,VB,have,how,many,"['how', 'many']",WRB,JJ,player,NN,,CARDINAL
How old is the sun ?,,,is,VBZ,be,how,old,"['how', 'old']",WRB,JJ,sun,NN,,DATE
What percentage of children between the ages of two and eleven watch ` The Simpsons ' ?,,,percentage,NN,percentage,what,percentage,"['what', 'percentage']",WDT,NN,,,,PERCENT
How many years ago did Led Zeppelin release its last album ?,,,release,VB,release,how,many,"['how', 'many']",WRB,JJ,Zeppelin,NNP,PERSON,CARDINAL
How many people was Randy Craft convicted of killing ?,,,was,VBD,be,how,many,"['how', 'many']",WRB,JJ,people,NNS,,CARDINAL
What was the name of the famous battle between Texas and Mexico ?,,,was,VBD,be,what,be,"['what', 'be']",WP,VBD,name,NN,,EVENT
What country are you in if you woo in the Wu dialect ?,,,are,VBP,be,what,country,"['what', 'country']",WP,NN,you you,PRP,,GPE
What New York Yankee was known as The Iron Horse ?,,,known,VBN,know,what,New,"['what', 'New']",WP,NNP,,,,PERSON
Who is considered The First Lady of the American Stage ?,,,considered,VBN,consider,who,be,"['who', 'be']",WP,VBZ,,,,PERSON
Who penned : `` Neither a borrower nor a lender be '' ?,,,penned,VBD,pen,who,pen,"['who', 'pen']",WP,VBD,Who borrower,NN,,PERSON
What was the first Sam Spade novel ?,,,was,VBD,be,what,be,"['what', 'be']",WP,VBD,novel,NN,,WORK_OF_ART
What song did Patti Page set people dancing to in 1950 ?,,,set,VBD,set,what,song,"['what', 'song']",WDT,NN,Page people,NNS,,WORK_OF_ART
Who headed Hitler 's infamous Gestapo ?,,,headed,VBD,head,who,head,"['who', 'head']",WP,VBD,Who,WP,,PERSON
What South American city features the exclusive Copacabana Beach and Ipanema ?,,,features,VBZ,feature,what,south,"['what', 'south']",WP,JJ,city,NN,,GPE
What German city do Italians call The Monaco of Bavaria ?,,,call,VB,call,what,german,"['what', 'german']",WP,JJ,city Italians,NNPS,NORP,GPE
"What island group contains Jersey , Guernsey , Sark and Herm ?",,,contains,VBZ,contain,what,island,"['what', 'island']",WP,NN,group,NN,,LOC
What is a person called that likes fire ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,What person that,DT,,PERSON
"Where was helium first discovered , hence its name ?",,,name,NN,name,where,be,"['where', 'be']",WRB,VBD,helium,NN,,LOC
Name a South African diamond producer ?,,,Name,VB,name,,,[],,,,,,ORG
Who made the musical plea Be True to Your School ?,,,made,VBD,make,who,make,"['who', 'make']",WP,VBD,Who plea,NN,,PERSON
What French designer declared : `` The jean is the destructor ! It is a dictator ! It is destroying creativity. The jean must be stopped ! '' ?,,,declared,VBD,declare,what,french,"['what', 'french']",WP,JJ,designer jean,NN,,PERSON
What season is the setting for Shakespeare 's Midsummer Night 's Dream ?,,,is,VBZ,be,what,season,"['what', 'season']",WDT,NN,,,,DATE
Name a band which was famous in the 1960 's .,,,Name,VB,name,which,be,"['which', 'be']",WDT,VBD,which,WDT,,ORG
What comedian was banned from the Ed Sullivan Show for allegedly making an obscene gesture at the show 's host ?,,,banned,VBN,ban,what,comedian,"['what', 'comedian']",WP,NN,,,,PERSON
What country is the setting for Edgar Allan Poe 's The Pit and the Pendulum ?,,,is,VBZ,be,what,country,"['what', 'country']",WP,NN,country,NN,,GPE
What Apollo 11 astronaut minded the store while Armstrong and Aldrin made history ?,,,minded,VBD,mind,what,Apollo,"['what', 'Apollo']",WP,NNP,astronaut Armstrong,NNP,GPE,PERSON
What is the current ticket fare from from Cairo to Barbados ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,fare,NN,,MONEY
What is the second highest mountain peak in the world ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,peak,NN,,LOC
What Good Little Witch is Casper 's girlfriend ?,,,is,VBZ,be,what,good,"['what', 'good']",WP,JJ,Witch,NNP,,PERSON
In which Tennessee Williams play is one of the characters killed and devoured by a mob of starving children ?,,,is,VBZ,be,which,Tennessee,"['which', 'Tennessee']",WDT,NNP,Williams,NNP,PERSON,WORK_OF_ART
"What was the nickname of Frederick I , Holy Roman Emperor and King of Germany ?",,,was,VBD,be,what,be,"['what', 'be']",WP,VBD,nickname,NN,,PERSON
What war did the Potsdam Conference follow ?,,,follow,NN,follow,what,war,"['what', 'war']",WDT,NN,Conference,NNP,,EVENT
"What month , date , and year did Charles I die ?",,,date,NN,date,what,month,"['what', 'month']",WDT,NN,,,,DATE
How many cubic feet of space does a gallon of water occupy ?,,,does,VBZ,do,how,many,"['how', 'many']",WRB,JJ,feet,NNS,,CARDINAL
What 's the world 's largest cathedral ?,,,'s,VBZ,be,what,be,"['what', 'be']",WP,VBZ,,,,LOC
What three European countries begin with the letter A ?,,,begin,VBP,begin,what,three,"['what', 'three']",WP,CD,countries,NNS,,GPE
What was the name of Hitler 's unsuccessful attempt to overthrow the Bavarian government in Munich in 1923 ?,,,was,VBD,be,what,be,"['what', 'be']",WP,VBD,name,NN,,EVENT
How many earthworms are in a single pasture ?,,,are,VBP,be,how,many,"['how', 'many']",WRB,JJ,earthworms,NNS,,CARDINAL
Who made Stonehenge ?,,,made,VBD,make,who,make,"['who', 'make']",WP,VBD,Who,WP,,PERSON
What is the average hourly rate of American workers ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,rate,NN,,CARDINAL
Who 's the founder and editor of The National Review ?,,,'s,VBZ,be,who,be,"['who', 'be']",WP,VBZ,Who founder,NN,,PERSON
In what year did they build the Berlin Wall ?,,,build,VB,build,what,year,"['what', 'year']",WDT,NN,they,PRP,,DATE
Who was the first governor of West Virginia ?,,,was,VBD,be,who,be,"['who', 'be']",WP,VBD,,,,PERSON
What 's the world 's longest suspension bridge ?,,,'s,VBZ,be,what,be,"['what', 'be']",WP,VBZ,bridge,NN,,FAC
What Asian city boasts the world 's biggest bowling alley ?,,,boasts,VBZ,boast,what,asian,"['what', 'asian']",WP,JJ,city,NN,,GPE
When will Jean Aeul publish her next book ?,,,publish,VB,publish,when,will,"['when', 'will']",WRB,MD,Aeul,NNP,PERSON,DATE
"What famous soldier was born in Europe , died in Asia , and was laid to rest in Africa ?",,,born,VBN,bear,what,famous,"['what', 'famous']",WDT,JJ,,,,PERSON
"When it 's time to relax , what one beer stands clear ?",,,stands,VBZ,stand,what,one,"['what', 'one']",WP,CD,it beer,NN,,PRODUCT
What culture developed the idea of potlatch ?,,,developed,VBD,develop,what,culture,"['what', 'culture']",WDT,NN,culture,NN,,ORG
What baseball team became the Minnesota Twins ?,,,became,VBD,become,what,baseball,"['what', 'baseball']",WDT,NN,team,NN,,ORG
What kind of guitar did Jimi Hendrix play ?,,,play,VB,play,what,kind,"['what', 'kind']",WDT,NN,Hendrix,NNP,PERSON,PRODUCT
What were the first three cities to have a population of more than a million ?,,,were,VBD,be,what,be,"['what', 'be']",WP,VBD,cities,NNS,,GPE
What constellation contains the twins Castor and Pollux ?,,,contains,VBZ,contain,what,constellation,"['what', 'constellation']",WP,NN,constellation,NN,,LOC
How many meters are in a mile ?,,,are,VBP,be,how,many,"['how', 'many']",WRB,JJ,meters,NNS,,CARDINAL
What James Michener book is subtitled Spanish Travels and Reflections ?,,,subtitled,VBN,subtitle,what,James,"['what', 'James']",WP,NNP,,,,WORK_OF_ART
What famed London criminal court was once a feudal castle ?,,,was,VBD,be,what,fame,"['what', 'fame']",WP,VBD,What,WP,,LOC
How many milligrams are in a gram ?,,,are,VBP,be,how,many,"['how', 'many']",WRB,JJ,milligrams,NNS,,CARDINAL
Where did he get the title ?,,,get,VB,get,where,do,"['where', 'do']",WRB,VBD,he,PRP,,LOC
Where can I find a large list of 5 to 6 letter words ?,,,find,VB,find,where,can,"['where', 'can']",WRB,MD,I,PRP,,LOC
What is Michael Jackson 's middle name ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,name,NN,,PERSON
Who was the first woman to fly solo across the Atlantic ?,,,was,VBD,be,who,be,"['who', 'be']",WP,VBD,,,,PERSON
How long is human gestation ?,,,is,VBZ,be,how,long,"['how', 'long']",WRB,RB,gestation,NN,,TIME
What kind of suit did true hepcats wear in 1942 ?,,,wear,VB,wear,what,kind,"['what', 'kind']",WDT,NN,kind hepcats,NNS,,PRODUCT
Where does Mother Angelica live ?,,,live,VB,live,where,do,"['where', 'do']",WRB,VBZ,Angelica,NNP,,LOC
Musician Ray Charles plays what instrument ?,,,plays,VBZ,play,what,instrument,"['what', 'instrument']",WP,NN,Charles,NNP,PERSON,PRODUCT
What 's the population of Mississippi ?,,,'s,VBZ,be,what,be,"['what', 'be']",WP,VBZ,population,NN,,CARDINAL
Who started the Dominos Pizza chain ?,,,started,VBD,start,who,start,"['who', 'start']",WP,VBD,Who,WP,,PERSON
In what film did Steven Spielberg 's dog star as the main character 's dog ?,,,In,IN,in,what,film,"['what', 'film']",WDT,NN,,,,WORK_OF_ART
How old is Jeremy Piven ?,,,is,VBZ,be,how,old,"['how', 'old']",WRB,JJ,Piven,NNP,PERSON,DATE
Which NBA players had jersey number 0 ?,,,had,VBD,have,which,NBA,"['which', 'NBA']",WDT,NNP,players,NNS,,PERSON
What chocolate company gives you a one-pound kiss ?,,,gives,VBZ,give,what,chocolate,"['what', 'chocolate']",WP,NN,company,NN,,ORG
How many colored squares are there on a Rubik 's Cube ?,,,are,VBP,be,how,many,"['how', 'many']",WRB,JJ,squares,NNS,,CARDINAL
Where is the Mayo Clinic ?,,,is,VBZ,be,where,be,"['where', 'be']",WRB,VBZ,Clinic,NNP,ORG,LOC
What Caribbean island is sometimes called Little England ?,,,called,VBN,call,what,caribbean,"['what', 'caribbean']",WP,JJ,,,,LOC
Where is Amsterdam ?,,,is,VBZ,be,where,be,"['where', 'be']",WRB,VBZ,Amsterdam,NNP,PERSON,LOC
Where can I find the lyrics for the song ` Getting Married Today ' from the musical ` Company ' ?,,,find,VB,find,where,can,"['where', 'can']",WRB,MD,I,PRP,,LOC
"Who is the famous movie star who also acted as sewer commissioner of Provo Canyon , Utah ?",,,is,VBZ,be,who,also,"['who', 'also']",WP,RB,who,WP,,PERSON
What Australian city became the home of the America 's Cup ?,,,became,VBD,become,what,australian,"['what', 'australian']",WP,JJ,city,NN,,GPE
Name Randy Craft 's lawyer .,,,lawyer,NN,lawyer,,,[],,,,,,PERSON
What is the best distance education university or college ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,university,NNP,,ORG
What river does the Grand Coulee Dam dam ?,,,dam,NN,dam,what,river,"['what', 'river']",WDT,NN,,,,LOC
How often are quadruplets born ?,,,born,VBN,bear,how,often,"['how', 'often']",WRB,RB,,,,CARDINAL
How many presidents have died on the 4th of July ?,,,died,VBN,die,how,many,"['how', 'many']",WRB,JJ,presidents,NNS,,CARDINAL
What is a person called that likes fire ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,What person that,DT,,PERSON
Who portrayed Vincent Van Gogh in Lust for Life ?,,,portrayed,VBD,portray,who,portray,"['who', 'portray']",WP,VBD,Who,WP,,PERSON
What is a reliable site that I can download Heretic 2 ?,,,is,VBZ,be,that,-PRON-,"['that', '-PRON-']",WDT,PRP,What I,PRP,,LOC
What season begins with the vernal equinox ?,,,begins,VBZ,begin,what,season,"['what', 'season']",WDT,NN,season,NN,DATE,DATE
Who was known as the Time Master in comic books ?,,,known,VBN,know,who,be,"['who', 'be']",WP,VBD,,,,PERSON
What TV series changed the names to protect the innocent ?,,,changed,VBD,change,what,tv,"['what', 'tv']",WP,NN,series,NN,,WORK_OF_ART
Where did cable cars first roll down Clay Street in 1873 ?,,,roll,VB,roll,where,do,"['where', 'do']",WRB,VBD,cars,NNS,,LOC
What is George Lucas 's e-mail address ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,address,NN,,LOC
Who is the father of the computer ?,,,is,VBZ,be,who,be,"['who', 'be']",WP,VBZ,,,,PERSON
What William Styron book is about a black preacher who leads a slave revolt ?,,,is,VBZ,be,who,lead,"['who', 'lead']",WP,VBZ,book who,WP,,WORK_OF_ART
Who said : `` Old soldiers never die ; they just fade away '' ?,,,said,VBD,say,who,say,"['who', 'say']",WP,VBD,Who soldiers they,PRP,,PERSON
What National League baseball team employed 72 third baseemen in its first 2 seasons ?,,,employed,VBD,employ,what,National,"['what', 'National']",WP,NNP,team,NN,,ORG
How long were Tyrannosaurus Rex 's teeth ?,,,were,VBD,be,how,long,"['how', 'long']",WRB,JJ,teeth,NNS,,QUANTITY
Who 's the only man to have won the Olympic decathlon twice ?,,,'s,VBZ,be,who,be,"['who', 'be']",WP,VBZ,Who,WP,,PERSON
What Kenyan city is the safari center for East Africa ?,,,is,VBZ,be,what,kenyan,"['what', 'kenyan']",WP,JJ,city,NN,,GPE
What is the name of Miss India 1994 ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,name,NN,,PERSON
What four U.S. states have active volcanoes ?,,,have,VBP,have,what,four,"['what', 'four']",WP,CD,states,NNS,,GPE
Who was the second man to walk on the moon ?,,,was,VBD,be,who,be,"['who', 'be']",WP,VBD,,,,PERSON
