question,q_word,q_pos,root,root_pos,root_lemma,wh_word,wh_head,wh_bigram,wh_pos,wh_head_pos,subj,subj_pos,subj_ner,label,o_label
What does it mean `` Rupee Depreciates '' ?,,,mean,VB,mean,What,does,"['What', 'does']",WP,AUX,it,PRON,,DESC:definition,
What gaming devices were dubbed `` Mississippi marbles '' and `` Memphis dominoes '' ?,,,dubbed,VBN,dub,What,gaming,"['What', 'gaming']",WDT,NOUN,,,,ENTY:other,
Who was the first coach of the Cleveland Browns ?,,,was,VBD,be,Who,was,"['Who', 'was']",WP,AUX,Who,PRON,,HUM:identity,PERSON
How successful is arometherapy ?,,,is,VBZ,be,How,is,"['How', 'is']",WRB,AUX,arometherapy,NOUN,,DESC:manner,
What Jewish holiday saw the start of the 1973 Mideast War ?,,,saw,VBD,see,What,holiday,"['What', 'holiday']",WP,NOUN,holiday,NOUN,,ENTY:event,EVENT
How does a copier work ?,,,work,NN,work,How,does,"['How', 'does']",WRB,AUX,copier,ADJ,,DESC:manner,
What is the speed of the Mississippi River ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,speed,NOUN,,NUM:speed,QUANTITY
Who said of Super Bowl III in 1969 : `` We 'll win- I guarantee it '' ?,,,said,VBD,say,Who,said,"['Who', 'said']",WP,VERB,Who We,PRON,,HUM:identity,PERSON
What is Dudley Do-Right 's horse 's name ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,name,NOUN,,ENTY:animal,
Who declared : `` I am down on whores and I shan 't stop ripping them '' ?,,,declared,VBD,declare,Who,declared,"['Who', 'declared']",WP,VERB,Who I,PRON,,HUM:identity,PERSON
Where does chocolate come from ?,,,come,VB,come,Where,does,"['Where', 'does']",WRB,AUX,chocolate,NOUN,,LOC:other,LOC
What TV game show once saw a contestant admit to picking his toes in the shower ?,,,saw,VBD,see,What,TV,"['What', 'TV']",WDT,NOUN,show contestant,ADJ,,ENTY:creation,WORK_OF_ART
What Soviet leader owned a Rolls-Royce ?,,,owned,VBD,own,What,leader,"['What', 'leader']",WP,NOUN,leader,NOUN,,HUM:identity,PERSON
Where can I find a case on Individuals with Disabilities Education Act of 1991 ?,,,find,VB,find,Where,can,"['Where', 'can']",WRB,AUX,I,PRON,,LOC:other,LOC
What war did Florence Nightingale tend the troops in ?,,,tend,VB,tend,What,war,"['What', 'war']",WDT,NOUN,war Nightingale,PROPN,ORG,ENTY:event,EVENT
"Who wrote the song , `` Stardust '' ?",,,wrote,VBD,write,Who,wrote,"['Who', 'wrote']",WP,VERB,Who,PRON,,HUM:identity,PERSON
How many Beatles ' records went #1 ?,,,went,VBD,go,How,records,"['How', 'records']",WRB,NOUN,records,NOUN,,NUM:count,QUANTITY
Who is the only prime minister of Canada to serve 22 years but not necessarily consecutively ?,,,is,VBZ,be,Who,is,"['Who', 'is']",WP,AUX,,,,HUM:identity,PERSON
What is the abbreviation of the company name ` General Motors ' ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,abbreviation,NOUN,,ABBR:abbreviation,
What mountains lie between the Arkansas and Missouri rivers ?,,,lie,VBP,lie,What,mountains,"['What', 'mountains']",WP,NOUN,mountains,NOUN,,LOC:mountain,LOC
Who received the Will Rogers Award in 1989 ?,,,received,VBD,receive,Who,received,"['Who', 'received']",WP,VERB,Who,PRON,,HUM:identity,PERSON
What is the function of RAM ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,function,NOUN,,DESC:reason,
What 's the closest G2 Spectrum Yellow Dwarf to Earth ?,,,'s,VBZ,be,What,'s,"['What', ""'s""]",WP,AUX,Dwarf,PROPN,,LOC:other,LOC
How many equal angles are there in an isosceles triangle ?,,,are,VBP,be,How,angles,"['How', 'angles']",WRB,NOUN,angles,NOUN,,NUM:count,QUANTITY
What is the fear of cockroaches called ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,fear,NOUN,,ENTY:disease,
What CBS soap opera was interrupted by the bulletin of John F. Kennedy 's assassination ?,,,interrupted,VBN,interrupt,What,soap,"['What', 'soap']",WP,NOUN,,,,ENTY:creation,WORK_OF_ART
What is the use of a 24-hour clock instead of a 12-hour clock ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,use,NOUN,,DESC:description,
What was the name of the lawyer who represented Randy Craft ?,,,was,VBD,be,who,represented,"['who', 'represented']",WP,VERB,name who,PRON,,HUM:identity,PERSON
What United States President had dreamed that he was assassinated ?,,,dreamed,VBN,dream,What,had,"['What', 'had']",WP,AUX,President,PROPN,,HUM:identity,PERSON
What film did Lee Marvin win the 1965 best actor Oscar for ?,,,win,VB,win,What,film,"['What', 'film']",WDT,NOUN,Marvin,PROPN,PERSON,ENTY:creation,WORK_OF_ART
Where is Basque country located ?,,,located,VBN,locate,Where,is,"['Where', 'is']",WRB,AUX,country,NOUN,,LOC:other,LOC
What product does `` Mrs. Olsen '' promote ?,,,promote,VB,promote,What,product,"['What', 'product']",WDT,NOUN,,,,ENTY:product,PRODUCT
What time of day did Emperor Hirohito die ?,,,die,VB,die,What,time,"['What', 'time']",WDT,NOUN,Hirohito,PROPN,PERSON,NUM:date,DATE
What is dry ice ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,What ice,NOUN,,DESC:definition,
What 's the most powerful card in Euchre ?,,,'s,VBZ,be,What,'s,"['What', ""'s""]",WP,AUX,card,NOUN,,ENTY:other,
What does `` intractable plantar keratoma '' mean ?,,,mean,VB,mean,What,does,"['What', 'does']",WP,AUX,keratoma,PROPN,,DESC:definition,
How many years did it take James Joyce to write Ulysses ?,,,take,VB,take,How,years,"['How', 'years']",WRB,NOUN,it,PRON,,NUM:count,QUANTITY
What crop failure caused the Irish Famine ?,,,caused,VBD,cause,What,crop,"['What', 'crop']",WDT,NOUN,failure,NOUN,,ENTY:food,PRODUCT
What South Korean city is served by Kimpo International Airport ?,,,served,VBN,serve,What,city,"['What', 'city']",WP,NOUN,,,,LOC:city,LOC
How many types of dogs ' tails are there - three,,,are,VBP,be,How,types,"['How', 'types']",WRB,NOUN,types,NOUN,,NUM:count,QUANTITY
What is the longest-running television series ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,series,NOUN,,ENTY:creation,WORK_OF_ART
What predators exist on Antarctica ?,,,exist,VBP,exist,What,predators,"['What', 'predators']",WP,NOUN,predators,NOUN,,ENTY:animal,
What is the difference between a generator and an alternator ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,difference,NOUN,,DESC:description,
How is energy created ?,,,created,VBN,create,How,is,"['How', 'is']",WRB,AUX,,,,DESC:manner,
What beer advertised that it had `` three rings '' ?,,,advertised,VBD,advertise,What,beer,"['What', 'beer']",WP,NOUN,beer it,PRON,,ENTY:food,PRODUCT
What is the quantity of American soldiers still unaccounted for from the Vietnam war ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,quantity,NOUN,,NUM:other,CARDINAL
What golfing accessory was patented by George Grant on December 12,,,patented,VBN,patent,What,golfing,"['What', 'golfing']",WP,VERB,,,,ENTY:method,
What are the different types of plastic ?,,,are,VBP,be,What,are,"['What', 'are']",WP,AUX,types,NOUN,,ENTY:other,
How is it correct to say ` qigong ' ?,,,is,VBZ,be,How,is,"['How', 'is']",WRB,AUX,it,PRON,,DESC:manner,
What was the highest mountain on earth before Mount Everest was discovered ?,,,was,VBD,be,What,was,"['What', 'was']",WP,AUX,mountain,NOUN,,LOC:mountain,LOC
"Where was the Ligurian Republic , 1797-185 , ?",,,was,VBD,be,Where,was,"['Where', 'was']",WRB,AUX,Republic,PROPN,GPE,LOC:other,LOC
What country 's people are the top television watchers ?,,,are,VBP,be,What,country,"['What', 'country']",WP,NOUN,people,NOUN,,LOC:country,LOC
When was the women 's suffrage amendment ratified ?,,,ratified,VBD,ratify,When,was,"['When', 'was']",WRB,AUX,amendment,NOUN,,NUM:date,DATE
What Polynesian people inhabit New Zealand ?,,,inhabit,VBP,inhabit,What,people,"['What', 'people']",WP,NOUN,people,NOUN,,HUM:organization,ORG
What movie tour of the Roman empire features the admonition : `` Row well and live '' ?,,,features,VBZ,feature,What,movie,"['What', 'movie']",WP,NOUN,tour,NOUN,,ENTY:creation,WORK_OF_ART
What Nevada center has been dubbed The Biggest Little City in the World ?,,,dubbed,VBN,dub,What,center,"['What', 'center']",WP,NOUN,,,,LOC:city,LOC
"What President lived at 219 North Delaware Street , Independence , Missouri ?",,,lived,VBD,live,What,lived,"['What', 'lived']",WP,VERB,President,PROPN,,HUM:identity,PERSON
Give a reason for American Indians oftentimes dropping out of school .,,,oftentimes,VBZ,oftentime,,,[],,,,,,DESC:reason,
Where must a soccer goalie stand to be permitted to handle the ball ?,,,stand,NN,stand,Where,must,"['Where', 'must']",WRB,AUX,goalie,NOUN,,LOC:other,LOC
What is the difference between classical conditioning and operant conditioning ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,difference,NOUN,,DESC:description,
In what U.S. state was the first woman governor elected ?,,,In,IN,in,what,state,"['what', 'state']",WP,NOUN,state,NOUN,,LOC:state,LOC
What are some interesting facts and information about dogsledding ?,,,are,VBP,be,What,are,"['What', 'are']",WP,AUX,What facts,NOUN,,DESC:description,
What year did Hitler die ?,,,die,VB,die,What,year,"['What', 'year']",WDT,NOUN,Hitler,PROPN,PERSON,NUM:date,DATE
What famous model was married to Billy Joel ?,,,was,VBD,be,What,model,"['What', 'model']",WDT,NOUN,model,NOUN,,HUM:identity,PERSON
What kind of animal is Babar ?,,,is,VBZ,be,What,kind,"['What', 'kind']",WDT,NOUN,,,,ENTY:animal,
What is Jane Goodall known for ?,,,known,VBN,know,What,is,"['What', 'is']",WP,AUX,Goodall,PROPN,PERSON,DESC:reason,
What killed Bob Marley ?,,,killed,VBD,kill,What,killed,"['What', 'killed']",WP,VERB,What,PRON,,ENTY:other,
How much money are Dumbo 's ears insured for ?,,,are,VBP,be,How,money,"['How', 'money']",WRB,NOUN,money,NOUN,,NUM:money,MONEY
Who danced into stardom with Fred Astaire in 1941 's You 'll Never Get Rich ?,,,danced,VBD,dance,Who,danced,"['Who', 'danced']",WP,VERB,Who,PRON,,HUM:identity,PERSON
Who is Stein Eriksen ?,,,is,VBZ,be,Who,is,"['Who', 'is']",WP,AUX,,,,HUM:description,
What does the name Billie mean ?,,,mean,VB,mean,What,does,"['What', 'does']",WP,AUX,Billie,PROPN,GPE,DESC:definition,
Who is the fastest swimmer in the world ?,,,is,VBZ,be,Who,is,"['Who', 'is']",WP,AUX,Who,PRON,,HUM:identity,PERSON
What is the highest peak in Africa ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,peak,NOUN,,LOC:mountain,LOC
Where is Procter & Gamble headquartered in the U.S. ?,,,is,VBZ,be,Where,is,"['Where', 'is']",WRB,AUX,Procter,PROPN,ORG,LOC:other,LOC
What desert has been called The Garden of Allah ?,,,called,VBN,call,What,desert,"['What', 'desert']",WDT,NOUN,,,,LOC:other,LOC
What do bicornate animals have two of ?,,,have,VB,have,What,do,"['What', 'do']",WP,AUX,What animals,NOUN,,ENTY:other,
What function does a community 's water tower serve ?,,,serve,VBP,serve,What,function,"['What', 'function']",WDT,NOUN,function tower,NOUN,,DESC:reason,
What is a fear of weakness ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,What fear,NOUN,,ENTY:disease,
How many miles is it to Ohio from North Carolina ?,,,is,VBZ,be,How,miles,"['How', 'miles']",WRB,NOUN,it,PRON,,NUM:count,QUANTITY
How much snow equals an inch of rain ?,,,equals,VBZ,equal,How,snow,"['How', 'snow']",WRB,NOUN,snow,NOUN,,NUM:count,QUANTITY
What does G.M.T. stand for ?,,,stand,VB,stand,What,does,"['What', 'does']",WP,AUX,G.M.T.,PROPN,ORG,ABBR:explanation,
What does Inuit and Eskimo mean ?,,,mean,VB,mean,What,does,"['What', 'does']",WP,AUX,Inuit,PROPN,NORP,DESC:definition,
What song served as the closing theme of The Johnny Cash Show ?,,,served,VBD,serve,What,song,"['What', 'song']",WDT,NOUN,song,NOUN,,ENTY:creation,WORK_OF_ART
What field sport did dentist William Beers promote and write a standard book of rules for ?,,,dentist,NN,dentist,What,field,"['What', 'field']",WP,NOUN,sport Beers,PROPN,PERSON,ENTY:sport,
How do I tie dye clothes ?,,,tie,VB,tie,How,do,"['How', 'do']",WRB,AUX,I,PRON,,DESC:manner,
When does the average teenager first have intercourse ?,,,intercourse,NN,intercourse,When,does,"['When', 'does']",WRB,AUX,teenager,NOUN,,NUM:date,DATE
Why doesn 't www.answers.com have any answers to my questions ?,,,have,VBP,have,Why,doesn,"['Why', 'doesn']",WRB,NOUN,www.answers.com,PROPN,,DESC:reason,
What actor 's autobiography is titled All My Yesterdays ?,,,titled,VBN,title,What,actor,"['What', 'actor']",WP,NOUN,,,,HUM:identity,PERSON
What Russian master spy lived in the U.S. under the name Emil Goldfus ?,,,lived,VBD,live,What,master,"['What', 'master']",WP,NOUN,spy,NOUN,,HUM:identity,PERSON
Where 's the 19th hole on a golf course ?,,,Where,WRB,where,Where,'s,"['Where', ""'s""]",WRB,AUX,hole,NOUN,,LOC:other,LOC
What 's nature 's purpose for tornadoes ?,,,'s,VBZ,be,What,'s,"['What', ""'s""]",WP,AUX,What purpose,NOUN,,DESC:reason,
Who played the original Charlie 's Angels ?,,,played,VBD,play,Who,played,"['Who', 'played']",WP,VERB,Who,PRON,,HUM:identity,PERSON
Where can I find a person 's address from a telephone number ?,,,find,VB,find,Where,can,"['Where', 'can']",WRB,AUX,I,PRON,,LOC:other,LOC
"What English word comes from the Old French covrefeu , meaning cover fire ?",,,comes,VBZ,come,What,word,"['What', 'word']",WP,NOUN,word,NOUN,,ENTY:word,
What musical instrument did Prewitt play in James Jones 's From Here to Eternity ?,,,play,VB,play,What,instrument,"['What', 'instrument']",WP,NOUN,,,,ENTY:instrument,PRODUCT
Where did Sarge Steel get his metal hand ?,,,get,VB,get,Where,did,"['Where', 'did']",WRB,AUX,Steel,PROPN,ORG,LOC:other,LOC
What makes popcorn pop ?,,,makes,VBZ,make,What,makes,"['What', 'makes']",WP,VERB,What,PRON,,DESC:reason,
Who wrote The Night of the Iguana ?,,,wrote,VBD,write,Who,wrote,"['Who', 'wrote']",WP,VERB,Who,PRON,,HUM:identity,PERSON
Where does your hair grow the fastest ?,,,grow,VB,grow,Where,does,"['Where', 'does']",WRB,AUX,hair,NOUN,,ENTY:body,
What country did King Gustav V reign over from 197 to 195 ?,,,reign,NN,reign,What,country,"['What', 'country']",WP,NOUN,V,PROPN,,LOC:country,LOC
Who painted Mother and Child ?,,,painted,VBD,paint,Who,painted,"['Who', 'painted']",WP,VERB,Who,PRON,,HUM:identity,PERSON
What is the speed of the Mississippi River ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,speed,NOUN,,NUM:speed,QUANTITY
In what area of the world was the Six Day War fought ?,,,fought,VBD,fight,what,area,"['what', 'area']",WDT,NOUN,area War,PROPN,EVENT,LOC:other,LOC
What is the brightest star visible from Earth ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,star,NOUN,,LOC:other,LOC
What film marked Robert Redford 's directorial debut ?,,,marked,VBD,mark,What,film,"['What', 'film']",WDT,NOUN,film,NOUN,,ENTY:creation,WORK_OF_ART
What was Mao 's second name ?,,,was,VBD,be,What,was,"['What', 'was']",WP,AUX,name,NOUN,,HUM:identity,PERSON
What film or films has Jude Law appeared in ?,,,has,VBZ,have,What,film,"['What', 'film']",WDT,NOUN,Law,PROPN,PERSON,ENTY:creation,WORK_OF_ART
Where do hyenas live ?,,,live,VB,live,Where,do,"['Where', 'do']",WRB,AUX,hyenas,NOUN,,LOC:other,LOC
Who is the `` Queen Mother '' ?,,,is,VBZ,be,Who,is,"['Who', 'is']",WP,AUX,,,,HUM:description,
What 's the most commonly-spoken language in Belgium ?,,,'s,VBZ,be,What,'s,"['What', ""'s""]",WP,AUX,What,PRON,,ENTY:language,LANGUAGE
Who has more DNA - a man or a woman ?,,,has,VBZ,have,Who,has,"['Who', 'has']",WP,AUX,Who,PRON,,HUM:identity,PERSON
What are Maid-Rites ?,,,are,VBP,be,What,are,"['What', 'are']",WP,AUX,Rites,PROPN,,DESC:definition,
"What children 's tale contains the line : `` Come , Cinderslut , and hold this skein of wool for me '' ?",,,contains,VBZ,contain,What,children,"['What', 'children']",WDT,NOUN,tale,NOUN,,ENTY:creation,WORK_OF_ART
What level of government or governmental agency is responsible for dealing with racism ?,,,is,VBZ,be,What,level,"['What', 'level']",WDT,NOUN,level,NOUN,,HUM:organization,ORG
How many referees work a soccer game ?,,,work,VBP,work,How,referees,"['How', 'referees']",WRB,NOUN,referees,NOUN,,NUM:count,QUANTITY
What cocktail do you concoct with whisky and sweet vermouth ?,,,concoct,RB,concoct,What,cocktail,"['What', 'cocktail']",WDT,NOUN,you,PRON,,ENTY:food,PRODUCT
How do you say `` fresh '' in Spanish ?,,,say,VB,say,How,do,"['How', 'do']",WRB,AUX,you,PRON,,ENTY:term,
What do bee hives do in cranberry bogs ?,,,do,VB,do,What,do,"['What', 'do']",WP,AUX,hives,NOUN,,DESC:description,
What caused the Lynmouth floods ?,,,caused,VBD,cause,What,caused,"['What', 'caused']",WP,VERB,What,PRON,,DESC:reason,
When is the Tulip Festival in Michigan ?,,,is,VBZ,be,When,is,"['When', 'is']",WRB,AUX,Festival,PROPN,EVENT,NUM:date,DATE
"Who came up with the name , El Nino ?",,,came,VBD,come,Who,came,"['Who', 'came']",WP,VERB,Who,PRON,,HUM:identity,PERSON
What movie did Madilyn Kahn star in with Gene Wilder ?,,,star,NN,star,What,movie,"['What', 'movie']",WDT,NOUN,movie Kahn,PROPN,PERSON,ENTY:creation,WORK_OF_ART
What type of bridge is the Golden Gate Bridge ?,,,is,VBZ,be,What,type,"['What', 'type']",WDT,NOUN,,,,ENTY:other,
What dictator has the nickname `` El Maximo '' ?,,,has,VBZ,have,What,dictator,"['What', 'dictator']",WDT,NOUN,dictator,NOUN,,HUM:identity,PERSON
What stereo manufacturer is `` Slightly ahead of its time '' ?,,,is,VBZ,be,What,manufacturer,"['What', 'manufacturer']",WDT,NOUN,manufacturer,NOUN,,HUM:organization,ORG
What U.S. city is The Queen of the Pacific ?,,,is,VBZ,be,What,city,"['What', 'city']",WP,NOUN,city,NOUN,,LOC:city,LOC
What TV sitcom character had the maiden name Ethel Potter ?,,,had,VBD,have,What,TV,"['What', 'TV']",WDT,NOUN,character,NOUN,,HUM:identity,PERSON
What was the first Lifesaver flavor ?,,,was,VBD,be,What,was,"['What', 'was']",WP,AUX,flavor,NOUN,,ENTY:food,PRODUCT
Who kept the most famous diary in the English language ?,,,kept,VBD,keep,Who,kept,"['Who', 'kept']",WP,VERB,Who,PRON,,HUM:identity,PERSON
Where can I find out the top 1 singles ?,,,find,VB,find,Where,can,"['Where', 'can']",WRB,AUX,I,PRON,,LOC:other,LOC
How many degrees cooler is the inside of a cucumber than the air outside ?,,,is,VBZ,be,How,degrees,"['How', 'degrees']",WRB,NOUN,cooler,NOUN,,NUM:count,QUANTITY
What Spanish artist painted Crucifixion ?,,,painted,VBD,paint,What,artist,"['What', 'artist']",WP,NOUN,artist,NOUN,,HUM:identity,PERSON
What is the Jewish bible called ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,bible,NOUN,,ENTY:creation,WORK_OF_ART
Why is the grass green ?,,,is,VBZ,be,Why,is,"['Why', 'is']",WRB,AUX,grass green,ADJ,,DESC:reason,
What is a firewall ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,What,PRON,,DESC:definition,
What spy novelist served as Moscow correspondent for Reuter and The Times of London ?,,,served,VBD,serve,What,spy,"['What', 'spy']",WP,NOUN,novelist,NOUN,,HUM:identity,PERSON
Which oil company almost picked a word that meant `` stalled car '' in Japanese as its new international name ?,,,picked,VBD,pick,that,meant,"['that', 'meant']",WDT,VERB,company that,PRON,,HUM:organization,ORG
How long does it take for Spider-Man 's web to evaporate ?,,,take,VB,take,How,does,"['How', 'does']",WRB,AUX,it web,NOUN,,NUM:period,TIME
Who was Randy Steven Craft 's lawyer ?,,,was,VBD,be,Who,was,"['Who', 'was']",WP,AUX,,,,HUM:identity,PERSON
What was known as the Spice Island ?,,,known,VBN,know,What,was,"['What', 'was']",WP,AUX,,,,LOC:other,LOC
Who was the first host of Person to Person ?,,,was,VBD,be,Who,was,"['Who', 'was']",WP,AUX,Who,PRON,,HUM:identity,PERSON
Name the Ranger who was always after Yogi Bear .,,,Name,VB,name,who,was,"['who', 'was']",WP,AUX,who,PRON,,HUM:identity,PERSON
"What deck of cards includes the Wheel of Fortune , the Lovers , and Death ?",,,includes,VBZ,include,What,deck,"['What', 'deck']",WP,NOUN,deck,NOUN,,ENTY:other,
What does the Statue of Liberty wear on her feet ?,,,wear,VB,wear,What,does,"['What', 'does']",WP,AUX,Statue,PROPN,,ENTY:other,
Who is the superstar in rent-a-cars ?,,,is,VBZ,be,Who,is,"['Who', 'is']",WP,AUX,superstar,NOUN,,HUM:identity,PERSON
McCarren Airport is located in what city ?,,,located,VBN,locate,what,city,"['what', 'city']",WDT,NOUN,,,,LOC:city,LOC
"What household facility contains a float ball , ballcock , and overflow tube ?",,,contains,VBZ,contain,What,household,"['What', 'household']",WDT,NOUN,facility,NOUN,,ENTY:other,
What was the name of Betty Boop 's dog ?,,,was,VBD,be,What,was,"['What', 'was']",WP,AUX,name,NOUN,,ENTY:animal,
What fraction of a beaver 's life is spent swimming ?,,,spent,VBN,spend,What,fraction,"['What', 'fraction']",WDT,NOUN,,,,NUM:percentage,PERCENT
What was the Bridge of San Luis Rey made of ?,,,was,VBD,be,What,was,"['What', 'was']",WP,AUX,Bridge made,VERB,,ENTY:substance,
What do economists do ?,,,do,VB,do,What,do,"['What', 'do']",WP,AUX,economists,NOUN,,DESC:description,
What country has the largest sheep population ?,,,has,VBZ,have,What,country,"['What', 'country']",WP,NOUN,country,NOUN,,LOC:country,LOC
"What do I need to do to take my dog with me to live in Dominica , West Indies for a year ?",,,need,VB,need,What,do,"['What', 'do']",WP,AUX,I,PRON,,DESC:description,
What country is the world 's largest importer of cognac ?,,,is,VBZ,be,What,country,"['What', 'country']",WP,NOUN,country,NOUN,,LOC:country,LOC
How many years is Johnnie Walker Black Label aged ?,,,is,VBZ,be,How,years,"['How', 'years']",WRB,NOUN,Label,PROPN,PERSON,NUM:count,QUANTITY
What does SIDS stand for ?,,,stand,VB,stand,What,does,"['What', 'does']",WP,AUX,SIDS,PROPN,,ABBR:explanation,
What is Grenada 's main commodity export ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,export,NOUN,,ENTY:other,
"How much would a black-and-white 1-cent stamp be worth , Thomas Jefferson on it , ?",,,be,VB,be,How,would,"['How', 'would']",WRB,AUX,stamp,NOUN,,NUM:money,MONEY
What makes a clitoris sensitive ?,,,makes,VBZ,make,What,makes,"['What', 'makes']",WP,VERB,What clitoris,PROPN,,DESC:reason,
"What country has the most time zones , with 11 ?",,,has,VBZ,have,What,country,"['What', 'country']",WP,NOUN,country,NOUN,,LOC:country,LOC
What `` magic '' does Mandrake employ ?,,,employ,VB,employ,What,magic,"['What', 'magic']",WP,NOUN,magic Mandrake,VERB,PERSON,ENTY:other,
Who is the president of Stanford University ?,,,is,VBZ,be,Who,is,"['Who', 'is']",WP,AUX,,,,HUM:identity,PERSON
Whose first presidential order was : `` Let 's get this goddamn thing airborne '' ?,,,was,VBD,be,Whose,order,"['Whose', 'order']",WP$,NOUN,order 's thing,NOUN,,HUM:identity,PERSON
"What was introduced commercially by Bayer A.G. of Leverkusen , in 1899 ?",,,introduced,VBN,introduce,What,was,"['What', 'was']",WP,AUX,,,,ENTY:other,
What city is Logan Airport in ?,,,is,VBZ,be,What,city,"['What', 'city']",WDT,NOUN,,,,LOC:city,LOC
What is a nanometer ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,What,PRON,,DESC:definition,
How many innings are there in a regulation softball game ?,,,are,VBP,be,How,innings,"['How', 'innings']",WRB,NOUN,,,,NUM:count,QUANTITY
When did CNN go on the air ?,,,go,VB,go,When,did,"['When', 'did']",WRB,AUX,CNN,PROPN,ORG,NUM:date,DATE
What is the largest city on the Great Lakes ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,city,NOUN,,LOC:city,LOC
What is the telephone number for the University of Kentucky ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,number,NOUN,,NUM:code,CARDINAL
Who invented baseball ?,,,invented,VBD,invent,Who,invented,"['Who', 'invented']",WP,VERB,Who,PRON,,HUM:identity,PERSON
How many wives did Brigham Young have ?,,,have,VB,have,How,wives,"['How', 'wives']",WRB,NOUN,Young,PROPN,PERSON,NUM:count,QUANTITY
What product on the market is good for hiding facial scars ?,,,is,VBZ,be,What,product,"['What', 'product']",WDT,NOUN,product,NOUN,,ENTY:product,PRODUCT
How long is the Coney Island boardwalk ?,,,is,VBZ,be,How,is,"['How', 'is']",WRB,AUX,boardwalk,NOUN,,NUM:distance,QUANTITY
What city gained renown for its pea-soup fogs ?,,,gained,VBD,gain,What,city,"['What', 'city']",WDT,NOUN,city,NOUN,,LOC:city,LOC
What does `` Janelle '' mean ?,,,mean,VB,mean,What,does,"['What', 'does']",WP,AUX,Janelle,PROPN,PERSON,DESC:definition,
How do I get another city 's newspaper ?,,,get,VB,get,How,do,"['How', 'do']",WRB,AUX,I,PRON,,DESC:manner,
Name a movie about the Sioux Indians starring Kevin Costner .,,,Name,VB,name,,,[],,,,,,ENTY:creation,WORK_OF_ART
"Who was shot in the back during a Poker game in Deadwood , the Dakota territory ?",,,shot,VBN,shoot,Who,was,"['Who', 'was']",WP,AUX,,,,HUM:identity,PERSON
What are the distinct physical characterstics of the Arabian horse ?,,,are,VBP,be,What,are,"['What', 'are']",WP,AUX,characterstics,NOUN,,DESC:description,
What is a fear of thunder ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,What fear,NOUN,,ENTY:disease,
What animal has killed the most people ?,,,killed,VBN,kill,What,animal,"['What', 'animal']",WDT,NOUN,animal,NOUN,,ENTY:animal,
How many colleges are in Wyoming ?,,,are,VBP,be,How,colleges,"['How', 'colleges']",WRB,NOUN,colleges,NOUN,,NUM:count,QUANTITY
What Russian seaport has a name meaning `` Lord of the East '' ?,,,has,VBZ,have,What,seaport,"['What', 'seaport']",WP,NOUN,seaport,NOUN,,LOC:city,LOC
Where can stocks be traded on-line ?,,,traded,VBN,trade,Where,can,"['Where', 'can']",WRB,AUX,,,,LOC:other,LOC
When was the Battle of Hastings ?,,,was,VBD,be,When,was,"['When', 'was']",WRB,AUX,Battle,PROPN,ORG,NUM:date,DATE
What kind of file has the extension .dbf ?,,,has,VBZ,have,What,kind,"['What', 'kind']",WDT,NOUN,kind,NOUN,,ENTY:other,
When did Muhammad live ?,,,live,VB,live,When,did,"['When', 'did']",WRB,AUX,Muhammad,PROPN,PERSON,NUM:date,DATE
"What then-derogatory term was applied to the painters Monet , Sisley , Pissarro , Renoir and Degas ?",,,applied,VBN,apply,What,term,"['What', 'term']",WP,NOUN,,,,ENTY:term,
What is a wop ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,What wop,PROPN,,DESC:definition,
Where do rocks come from ?,,,come,VB,come,Where,do,"['Where', 'do']",WRB,AUX,rocks,NOUN,,DESC:description,
How do I stop background noise in a car stereo ?,,,stop,VB,stop,How,do,"['How', 'do']",WRB,AUX,I,PRON,,DESC:manner,
Where do people mountain climb in Nepal ?,,,climb,NN,climb,Where,do,"['Where', 'do']",WRB,AUX,people,NOUN,,LOC:mountain,LOC
What is the best college in the country ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,college,NOUN,,HUM:organization,ORG
